product_name,original_price,final_price,discount_percent,urgency_flag,fake_discount_flag,rating,platform,discount_intensity,price_manipulation_score,trust_score,urgency_weight,fake_discount_weight,dark_pattern_score,manipulation_level,year,,,,platform
Vivo Prime Smartphone,79839,39919,50,0,1,4.3,Meesho,0.5,49.899375,2.15,0,0.5,70,Moderate,2018,,,,
Samsung Max Smartphone,67715,47400,30,1,0,3.3,Flipkart,0.3,25.393125,2.3099999999999996,0.3,0,42,Moderate,2020,,,,
Oppo Plus Smartwatch,67565,60808,10,1,0,4.3,Paytm Mall,0.1,8.445625,3.87,0.3,0,34,Low,2018,,,,
Vivo Prime Laptop,51652,20660,60,0,1,3.7,Amazon,0.6,38.739,1.4800000000000002,0,0.5,74,High Manipulation,2024,,,,
Redmi Plus Smartwatch,51138,40910,20,0,0,4.7,Amazon,0.2,12.7845,3.7600000000000002,0,0,8.000000000000002,Low,2022,,,,
OnePlus Prime Laptop,62867,50293,20,0,0,3.7,Ajio,0.2,15.71675,2.9600000000000004,0,0,8.000000000000002,Low,2015,,,,
Vivo Lite Headphones,53598,21439,60,1,1,4,Paytm Mall,0.6,40.1985,1.6,0.3,0.5,104,High Manipulation,2024,,,,
Redmi Plus Headphones,66590,46613,30,0,0,3.7,Paytm Mall,0.3,24.97125,2.59,0,0,12,Low,2015,,,,
Vivo Pro Smartphone,9275,3710,60,1,1,3.6,Meesho,0.6,6.95625,1.4400000000000002,0.3,0.5,104,High Manipulation,2020,,,,
OnePlus Max Smartwatch,57632,34579,40,0,0,2.9,Meesho,0.4,28.816,1.74,0,0,16.000000000000004,Low,2017,,,,
Vivo Plus Smartwatch,27224,21779,20,0,0,3.5,Meesho,0.2,6.806,2.8000000000000003,0,0,8.000000000000002,Low,2025,,,,
Samsung Lite Smartwatch,59965,53968,10,0,0,4.2,Myntra,0.1,7.495625,3.7800000000000002,0,0,4.000000000000001,Low,2018,,,,
Redmi Lite Headphones,12473,9978,20,1,0,2.5,Amazon,0.2,3.11825,2,0.3,0,38,Low,2023,,,,
Apple Pro Headphones,42390,29672,30,0,0,2.8,Myntra,0.3,15.89625,1.9599999999999997,0,0,12,Low,2015,,,,
Apple Lite Laptop,8705,5223,40,1,0,4.3,Flipkart,0.4,4.3525,2.5799999999999996,0.3,0,46,Moderate,2024,,,,
Apple Prime Headphones,28499,14249,50,0,1,4.7,Nykaa,0.5,17.811875,2.35,0,0.5,70,Moderate,2019,,,,
Oppo Max Smartphone,46728,23364,50,1,1,3.2,Ajio,0.5,29.205,1.6,0.3,0.5,100,High Manipulation,2020,,,,
Realme Plus Smartphone,44002,17600,60,0,1,3.4,Amazon,0.6,33.0015,1.36,0,0.5,74,High Manipulation,2019,,,,
Redmi Max Smartphone,22192,17753,20,0,0,3.9,Amazon,0.2,5.548,3.12,0,0,8.000000000000002,Low,2018,,,,
OnePlus Lite Laptop,55738,39016,30,1,0,3.4,Meesho,0.3,20.90175,2.38,0.3,0,42,Moderate,2023,,,,
Oppo Pro Smartphone,29356,20549,30,1,0,4.9,Flipkart,0.3,11.0085,3.43,0.3,0,42,Moderate,2021,,,,
Realme Pro Laptop,48950,24475,50,1,1,3.2,Ajio,0.5,30.59375,1.6,0.3,0.5,100,High Manipulation,2024,,,,
Samsung Pro Headphones,40199,20099,50,1,1,4.7,Amazon,0.5,25.124375,2.35,0.3,0.5,100,High Manipulation,2020,,,,
Apple Lite Headphones,30785,24628,20,0,0,2.7,Amazon,0.2,7.69625,2.16,0,0,8.000000000000002,Low,2015,,,,
Samsung Lite Smartwatch,22704,18163,20,1,0,4.2,Myntra,0.2,5.676,3.3600000000000003,0.3,0,38,Low,2025,,,,
Oppo Lite Laptop,66388,46471,30,1,0,4,Flipkart,0.3,24.8955,2.8,0.3,0,42,Moderate,2023,,,,
Vivo Lite Headphones,61812,30906,50,1,1,4.2,Meesho,0.5,38.6325,2.1,0.3,0.5,100,High Manipulation,2016,,,,
Oppo Prime Headphones,13235,10588,20,0,0,3.5,JioMart,0.2,3.30875,2.8000000000000003,0,0,8.000000000000002,Low,2017,,,,
Vivo Prime Headphones,67880,40728,40,1,0,4.6,Amazon,0.4,33.94,2.76,0.3,0,46,Moderate,2024,,,,
Samsung Plus Headphones,43366,30356,30,1,0,3.1,JioMart,0.3,16.26225,2.17,0.3,0,42,Moderate,2018,,,,
Redmi Lite Smartphone,19724,11834,40,1,0,4.3,Nykaa,0.4,9.862,2.5799999999999996,0.3,0,46,Moderate,2023,,,,
Oppo Ultra Headphones,9779,6845,30,0,0,2.6,JioMart,0.3,3.667125,1.8199999999999998,0,0,12,Low,2021,,,,
OnePlus Prime Smartwatch,30661,12264,60,1,1,4.7,Ajio,0.6,22.99575,1.8800000000000001,0.3,0.5,104,High Manipulation,2020,,,,
Vivo Max Smartphone,65892,39535,40,1,0,2.8,Myntra,0.4,32.946,1.68,0.3,0,46,Moderate,2021,,,,
Apple Plus Smartphone,10373,7261,30,1,0,2.9,Ajio,0.3,3.889875,2.03,0.3,0,42,Moderate,2018,,,,
Redmi Pro Smartwatch,69886,34943,50,1,1,3.2,Nykaa,0.5,43.67875,1.6,0.3,0.5,100,High Manipulation,2017,,,,
Samsung Max Headphones,20259,8103,60,1,1,3.4,Amazon,0.6,15.19425,1.36,0.3,0.5,104,High Manipulation,2022,,,,
Samsung Max Smartwatch,61554,49243,20,1,0,4.4,Meesho,0.2,15.3885,3.5200000000000005,0.3,0,38,Low,2015,,,,
Vivo Max Laptop,10926,7648,30,0,0,2.9,Nykaa,0.3,4.09725,2.03,0,0,12,Low,2017,,,,
Redmi Prime Laptop,15308,9184,40,1,0,3.1,JioMart,0.4,7.654,1.8599999999999999,0.3,0,46,Moderate,2016,,,,
OnePlus Max Laptop,30470,24376,20,1,0,2.6,Nykaa,0.2,7.6175,2.08,0.3,0,38,Low,2018,,,,
OnePlus Plus Smartphone,65391,26156,60,1,1,3.5,Nykaa,0.6,49.04325,1.4000000000000001,0.3,0.5,104,High Manipulation,2020,,,,
Oppo Plus Smartwatch,13351,10680,20,0,0,2.8,Nykaa,0.2,3.33775,2.2399999999999998,0,0,8.000000000000002,Low,2018,,,,
Oppo Max Laptop,69726,55780,20,0,0,4.8,Flipkart,0.2,17.4315,3.84,0,0,8.000000000000002,Low,2025,,,,
Oppo Max Smartwatch,64719,51775,20,1,0,3,Flipkart,0.2,16.17975,2.4000000000000004,0.3,0,38,Low,2019,,,,
OnePlus Lite Headphones,11773,4709,60,1,1,3.4,Meesho,0.6,8.82975,1.36,0.3,0.5,104,High Manipulation,2024,,,,
Vivo Prime Laptop,46313,27787,40,0,0,3.6,Amazon,0.4,23.1565,2.16,0,0,16.000000000000004,Low,2025,,,,
Redmi Pro Laptop,10587,5293,50,1,1,4.1,Paytm Mall,0.5,6.616875,2.05,0.3,0.5,100,High Manipulation,2018,,,,
Oppo Lite Headphones,49568,24784,50,0,1,3.6,Snapdeal,0.5,30.98,1.8,0,0.5,70,Moderate,2021,,,,
Realme Pro Smartwatch,67026,60323,10,0,0,3.8,JioMart,0.1,8.37825,3.42,0,0,4.000000000000001,Low,2016,,,,
Redmi Max Smartwatch,25647,17952,30,0,0,4.7,Ajio,0.3,9.617625,3.29,0,0,12,Low,2016,,,,
Samsung Max Laptop,7377,6639,10,0,0,2.7,JioMart,0.1,0.922125,2.43,0,0,4.000000000000001,Low,2015,,,,
Vivo Lite Laptop,61709,43196,30,0,0,4.7,Meesho,0.3,23.140875,3.29,0,0,12,Low,2020,,,,
Realme Prime Smartwatch,76893,38446,50,0,1,3.5,Nykaa,0.5,48.058125,1.75,0,0.5,70,Moderate,2019,,,,
OnePlus Prime Smartphone,68574,41144,40,0,0,4.4,Ajio,0.4,34.287,2.64,0,0,16.000000000000004,Low,2024,,,,
Apple Prime Laptop,54381,48942,10,1,0,2.5,Myntra,0.1,6.797625,2.25,0.3,0,34,Low,2016,,,,
Samsung Lite Laptop,23428,21085,10,1,0,3.7,Snapdeal,0.1,2.9285,3.33,0.3,0,34,Low,2023,,,,
OnePlus Ultra Laptop,23121,18496,20,0,0,4.2,Amazon,0.2,5.78025,3.3600000000000003,0,0,8.000000000000002,Low,2015,,,,
Apple Plus Smartphone,43841,39456,10,0,0,2.8,Flipkart,0.1,5.480125,2.52,0,0,4.000000000000001,Low,2015,,,,
Apple Prime Laptop,69706,48794,30,0,0,4.2,Snapdeal,0.3,26.13975,2.94,0,0,12,Low,2016,,,,
Oppo Plus Smartwatch,21064,14744,30,1,0,4.6,Paytm Mall,0.3,7.899,3.2199999999999998,0.3,0,42,Moderate,2022,,,,
Vivo Prime Laptop,59484,47587,20,1,0,3.3,JioMart,0.2,14.871,2.64,0.3,0,38,Low,2019,,,,
Oppo Prime Laptop,72345,65110,10,0,0,2.8,Meesho,0.1,9.043125,2.52,0,0,4.000000000000001,Low,2022,,,,
OnePlus Ultra Smartphone,10616,4246,60,0,1,4.7,Meesho,0.6,7.962,1.8800000000000001,0,0.5,74,High Manipulation,2025,,,,
OnePlus Ultra Smartwatch,52184,26092,50,1,1,2.6,Nykaa,0.5,32.615,1.3,0.3,0.5,100,High Manipulation,2023,,,,
OnePlus Pro Headphones,36603,32942,10,0,0,5,Paytm Mall,0.1,4.575375,4.5,0,0,4.000000000000001,Low,2024,,,,
Apple Ultra Smartwatch,65845,26338,60,0,1,3.2,Amazon,0.6,49.38375,1.2800000000000002,0,0.5,74,High Manipulation,2015,,,,
Realme Ultra Headphones,43165,34532,20,0,0,3.3,Ajio,0.2,10.79125,2.64,0,0,8.000000000000002,Low,2024,,,,
OnePlus Ultra Headphones,11966,8376,30,0,0,4.6,Nykaa,0.3,4.48725,3.2199999999999998,0,0,12,Low,2018,,,,
Apple Plus Smartphone,65291,32645,50,1,1,2.8,Paytm Mall,0.5,40.806875,1.4,0.3,0.5,100,High Manipulation,2021,,,,
Oppo Ultra Headphones,67582,40549,40,1,0,3.6,Nykaa,0.4,33.791,2.16,0.3,0,46,Moderate,2024,,,,
Redmi Lite Headphones,49780,24890,50,1,1,4.9,Amazon,0.5,31.1125,2.45,0.3,0.5,100,High Manipulation,2016,,,,
Vivo Pro Smartwatch,45128,22564,50,1,1,3.5,Flipkart,0.5,28.205,1.75,0.3,0.5,100,High Manipulation,2023,,,,
Oppo Pro Headphones,79594,47756,40,0,0,2.5,Flipkart,0.4,39.797,1.5,0,0,16.000000000000004,Low,2020,,,,
Samsung Plus Headphones,12996,6498,50,1,1,2.6,Amazon,0.5,8.1225,1.3,0.3,0.5,100,High Manipulation,2018,,,,
OnePlus Prime Laptop,61754,24701,60,0,1,3.5,JioMart,0.6,46.3155,1.4000000000000001,0,0.5,74,High Manipulation,2015,,,,
Oppo Prime Headphones,36625,25637,30,1,0,3.7,Snapdeal,0.3,13.734375,2.59,0.3,0,42,Moderate,2016,,,,
Realme Plus Headphones,21400,8560,60,1,1,2.9,JioMart,0.6,16.05,1.16,0.3,0.5,104,High Manipulation,2020,,,,
OnePlus Lite Smartwatch,11151,8920,20,0,0,4.7,Snapdeal,0.2,2.78775,3.7600000000000002,0,0,8.000000000000002,Low,2021,,,,
Samsung Max Laptop,68258,47780,30,0,0,3.1,Myntra,0.3,25.59675,2.17,0,0,12,Low,2022,,,,
OnePlus Prime Headphones,26776,16065,40,1,0,4.3,Paytm Mall,0.4,13.388,2.5799999999999996,0.3,0,46,Moderate,2017,,,,
Apple Lite Laptop,49707,19882,60,0,1,2.5,Meesho,0.6,37.28025,1,0,0.5,74,High Manipulation,2019,,,,
Oppo Prime Smartwatch,62513,43759,30,1,0,3.7,Ajio,0.3,23.442375,2.59,0.3,0,42,Moderate,2022,,,,
OnePlus Max Smartphone,55815,44652,20,1,0,4.6,Myntra,0.2,13.95375,3.6799999999999997,0.3,0,38,Low,2020,,,,
Oppo Ultra Smartphone,27816,13908,50,1,1,3.3,Snapdeal,0.5,17.385,1.65,0.3,0.5,100,High Manipulation,2022,,,,
Realme Lite Smartwatch,78235,70411,10,1,0,2.9,Snapdeal,0.1,9.779375,2.61,0.3,0,34,Low,2019,,,,
Samsung Max Smartwatch,56254,28127,50,1,1,4.2,Meesho,0.5,35.15875,2.1,0.3,0.5,100,High Manipulation,2021,,,,
Vivo Prime Headphones,9110,7288,20,1,0,3.3,Meesho,0.2,2.2775,2.64,0.3,0,38,Low,2016,,,,
Vivo Lite Laptop,74910,59928,20,1,0,3.5,Myntra,0.2,18.7275,2.8000000000000003,0.3,0,38,Low,2018,,,,
Realme Pro Headphones,30226,24180,20,0,0,3,Myntra,0.2,7.5565,2.4000000000000004,0,0,8.000000000000002,Low,2016,,,,
Vivo Prime Smartphone,63362,31681,50,1,1,4.9,Snapdeal,0.5,39.60125,2.45,0.3,0.5,100,High Manipulation,2022,,,,
OnePlus Plus Headphones,77081,46248,40,1,0,4.4,Myntra,0.4,38.5405,2.64,0.3,0,46,Moderate,2018,,,,
Realme Pro Smartphone,35122,28097,20,0,0,3.1,Amazon,0.2,8.7805,2.4800000000000004,0,0,8.000000000000002,Low,2023,,,,
Samsung Plus Smartphone,59359,41551,30,1,0,4.7,Myntra,0.3,22.259625,3.29,0.3,0,42,Moderate,2021,,,,
Redmi Pro Smartwatch,8863,4431,50,0,1,4.8,Paytm Mall,0.5,5.539375,2.4,0,0.5,70,Moderate,2020,,,,
Vivo Prime Smartphone,48378,43540,10,1,0,4,Meesho,0.1,6.04725,3.6,0.3,0,34,Low,2015,,,,
Redmi Ultra Headphones,17070,8535,50,0,1,4.8,JioMart,0.5,10.66875,2.4,0,0.5,70,Moderate,2024,,,,
OnePlus Lite Laptop,79083,55358,30,1,0,3.3,Amazon,0.3,29.656125,2.3099999999999996,0.3,0,42,Moderate,2022,,,,
Apple Prime Headphones,33303,16651,50,1,1,2.8,Snapdeal,0.5,20.814375,1.4,0.3,0.5,100,High Manipulation,2022,,,,
Oppo Max Smartphone,22576,15803,30,1,0,4.6,JioMart,0.3,8.466,3.2199999999999998,0.3,0,42,Moderate,2017,,,,
Redmi Max Laptop,69621,41772,40,1,0,4.9,Meesho,0.4,34.8105,2.94,0.3,0,46,Moderate,2024,,,,
Oppo Plus Smartwatch,68885,34442,50,0,1,2.8,Amazon,0.5,43.053125,1.4,0,0.5,70,Moderate,2025,,,,
Realme Plus Smartphone,44162,17664,60,1,1,2.8,Snapdeal,0.6,33.1215,1.1199999999999999,0.3,0.5,104,High Manipulation,2025,,,,
Vivo Ultra Smartphone,62906,56615,10,0,0,4.7,Nykaa,0.1,7.86325,4.23,0,0,4.000000000000001,Low,2025,,,,
Apple Prime Smartwatch,72145,64930,10,1,0,3.3,Paytm Mall,0.1,9.018125,2.9699999999999998,0.3,0,34,Low,2021,,,,
Apple Prime Laptop,12291,8603,30,1,0,4.8,Paytm Mall,0.3,4.609125,3.36,0.3,0,42,Moderate,2019,,,,
OnePlus Ultra Smartphone,18083,10849,40,0,0,4.8,Ajio,0.4,9.0415,2.88,0,0,16.000000000000004,Low,2018,,,,
Samsung Lite Laptop,43246,38921,10,1,0,3.9,Nykaa,0.1,5.40575,3.51,0.3,0,34,Low,2023,,,,
Oppo Plus Laptop,30407,21284,30,0,0,3.2,Flipkart,0.3,11.402625,2.2399999999999998,0,0,12,Low,2019,,,,
OnePlus Ultra Smartwatch,43140,21570,50,1,1,4.7,Snapdeal,0.5,26.9625,2.35,0.3,0.5,100,High Manipulation,2023,,,,
Oppo Prime Headphones,41412,24847,40,1,0,2.9,Myntra,0.4,20.706,1.74,0.3,0,46,Moderate,2021,,,,
Realme Ultra Smartwatch,22801,13680,40,1,0,3.3,Nykaa,0.4,11.4005,1.9799999999999998,0.3,0,46,Moderate,2019,,,,
Realme Lite Smartphone,48746,34122,30,1,0,2.7,Flipkart,0.3,18.27975,1.89,0.3,0,42,Moderate,2024,,,,
Vivo Max Laptop,25818,20654,20,0,0,4.8,Ajio,0.2,6.4545,3.84,0,0,8.000000000000002,Low,2025,,,,
Samsung Max Smartwatch,55018,49516,10,1,0,2.5,Meesho,0.1,6.87725,2.25,0.3,0,34,Low,2015,,,,
Redmi Plus Smartwatch,47571,19028,60,1,1,5,JioMart,0.6,35.67825,2,0.3,0.5,104,High Manipulation,2019,,,,
Samsung Lite Headphones,41568,16627,60,0,1,3.3,Amazon,0.6,31.176,1.32,0,0.5,74,High Manipulation,2015,,,,
OnePlus Ultra Headphones,77547,69792,10,0,0,4.3,Nykaa,0.1,9.693375,3.87,0,0,4.000000000000001,Low,2025,,,,
Samsung Plus Laptop,46470,37176,20,0,0,3.3,Meesho,0.2,11.6175,2.64,0,0,8.000000000000002,Low,2020,,,,
Redmi Plus Smartphone,30857,12342,60,1,1,3.6,JioMart,0.6,23.14275,1.4400000000000002,0.3,0.5,104,High Manipulation,2022,,,,
OnePlus Plus Smartphone,12894,6447,50,1,1,3.6,Amazon,0.5,8.05875,1.8,0.3,0.5,100,High Manipulation,2022,,,,
Oppo Plus Smartwatch,11683,7009,40,0,0,2.7,Amazon,0.4,5.8415,1.62,0,0,16.000000000000004,Low,2015,,,,
Redmi Plus Headphones,49660,39728,20,1,0,5,Snapdeal,0.2,12.415,4,0.3,0,38,Low,2017,,,,
Samsung Plus Headphones,77304,38652,50,1,1,4.8,Nykaa,0.5,48.315,2.4,0.3,0.5,100,High Manipulation,2017,,,,
Redmi Ultra Smartphone,74088,37044,50,0,1,4,Nykaa,0.5,46.305,2,0,0.5,70,Moderate,2025,,,,
Redmi Pro Headphones,44575,17830,60,1,1,2.8,Snapdeal,0.6,33.43125,1.1199999999999999,0.3,0.5,104,High Manipulation,2016,,,,
Realme Prime Smartphone,76629,38314,50,1,1,2.7,Amazon,0.5,47.893125,1.35,0.3,0.5,100,High Manipulation,2018,,,,
Apple Lite Headphones,32216,19329,40,1,0,3.3,Meesho,0.4,16.108,1.9799999999999998,0.3,0,46,Moderate,2016,,,,
Oppo Lite Laptop,70241,63216,10,0,0,5,Amazon,0.1,8.780125,4.5,0,0,4.000000000000001,Low,2025,,,,
OnePlus Lite Laptop,7259,5081,30,1,0,3.3,JioMart,0.3,2.722125,2.3099999999999996,0.3,0,42,Moderate,2016,,,,
Redmi Lite Smartwatch,31680,25344,20,0,0,4,Meesho,0.2,7.92,3.2,0,0,8.000000000000002,Low,2015,,,,
OnePlus Pro Headphones,70029,42017,40,0,0,4.8,Nykaa,0.4,35.0145,2.88,0,0,16.000000000000004,Low,2015,,,,
Vivo Prime Headphones,64168,57751,10,1,0,2.8,Flipkart,0.1,8.021,2.52,0.3,0,34,Low,2017,,,,
Redmi Plus Laptop,44465,31125,30,1,0,3,Amazon,0.3,16.674375,2.0999999999999996,0.3,0,42,Moderate,2023,,,,
Oppo Pro Smartwatch,76644,53650,30,1,0,3.3,Snapdeal,0.3,28.7415,2.3099999999999996,0.3,0,42,Moderate,2015,,,,
Redmi Prime Smartwatch,8107,7296,10,0,0,4.3,Snapdeal,0.1,1.013375,3.87,0,0,4.000000000000001,Low,2025,,,,
Vivo Plus Laptop,77505,38752,50,1,1,3.5,JioMart,0.5,48.440625,1.75,0.3,0.5,100,High Manipulation,2023,,,,
Samsung Lite Smartphone,52120,26060,50,0,1,2.6,Ajio,0.5,32.575,1.3,0,0.5,70,Moderate,2024,,,,
Realme Plus Smartphone,79929,63943,20,0,0,4.6,Paytm Mall,0.2,19.98225,3.6799999999999997,0,0,8.000000000000002,Low,2019,,,,
Samsung Prime Headphones,53159,47843,10,0,0,3.2,Ajio,0.1,6.644875,2.8800000000000003,0,0,4.000000000000001,Low,2022,,,,
Redmi Ultra Headphones,65516,39309,40,0,0,3.3,Paytm Mall,0.4,32.758,1.9799999999999998,0,0,16.000000000000004,Low,2019,,,,
Apple Ultra Laptop,46297,18518,60,0,1,4.1,Amazon,0.6,34.72275,1.64,0,0.5,74,High Manipulation,2020,,,,
Samsung Plus Smartphone,29458,14729,50,0,1,3.3,Flipkart,0.5,18.41125,1.65,0,0.5,70,Moderate,2023,,,,
Redmi Pro Smartphone,32960,16480,50,0,1,4.8,Flipkart,0.5,20.6,2.4,0,0.5,70,Moderate,2016,,,,
Apple Lite Smartphone,39222,19611,50,1,1,3.2,Snapdeal,0.5,24.51375,1.6,0.3,0.5,100,High Manipulation,2017,,,,
Redmi Pro Smartphone,12623,10098,20,0,0,3.3,Meesho,0.2,3.15575,2.64,0,0,8.000000000000002,Low,2018,,,,
Redmi Lite Laptop,73326,58660,20,1,0,3.6,Myntra,0.2,18.3315,2.8800000000000003,0.3,0,38,Low,2018,,,,
Oppo Prime Smartwatch,30842,18505,40,1,0,3.2,Amazon,0.4,15.421,1.92,0.3,0,46,Moderate,2025,,,,
OnePlus Pro Smartphone,22553,11276,50,0,1,4.4,Flipkart,0.5,14.095625,2.2,0,0.5,70,Moderate,2021,,,,
Oppo Ultra Smartphone,24536,9814,60,0,1,4.6,Myntra,0.6,18.402,1.8399999999999999,0,0.5,74,High Manipulation,2018,,,,
Vivo Plus Smartphone,10536,4214,60,0,1,2.9,Ajio,0.6,7.902,1.16,0,0.5,74,High Manipulation,2024,,,,
Apple Lite Laptop,62642,43849,30,0,0,2.7,Paytm Mall,0.3,23.49075,1.89,0,0,12,Low,2017,,,,
Samsung Plus Headphones,55713,22285,60,1,1,4.2,Paytm Mall,0.6,41.78475,1.6800000000000002,0.3,0.5,104,High Manipulation,2021,,,,
Vivo Ultra Smartwatch,44391,35512,20,0,0,3.7,Amazon,0.2,11.09775,2.9600000000000004,0,0,8.000000000000002,Low,2018,,,,
Oppo Pro Smartwatch,25565,12782,50,1,1,4.4,Ajio,0.5,15.978125,2.2,0.3,0.5,100,High Manipulation,2018,,,,
Vivo Pro Laptop,18937,11362,40,1,0,3.9,Snapdeal,0.4,9.4685,2.34,0.3,0,46,Moderate,2019,,,,
Redmi Ultra Laptop,17639,12347,30,1,0,3.1,Snapdeal,0.3,6.614625,2.17,0.3,0,42,Moderate,2016,,,,
Apple Max Smartphone,61924,24769,60,1,1,2.7,Ajio,0.6,46.443,1.08,0.3,0.5,104,High Manipulation,2021,,,,
Apple Ultra Laptop,16118,9670,40,0,0,3.9,Nykaa,0.4,8.059,2.34,0,0,16.000000000000004,Low,2016,,,,
Vivo Plus Smartwatch,5459,2729,50,1,1,4.7,Myntra,0.5,3.411875,2.35,0.3,0.5,100,High Manipulation,2021,,,,
Samsung Lite Smartwatch,43166,21583,50,1,1,3.8,Nykaa,0.5,26.97875,1.9,0.3,0.5,100,High Manipulation,2022,,,,
Oppo Max Smartwatch,58449,46759,20,0,0,4.2,Ajio,0.2,14.61225,3.3600000000000003,0,0,8.000000000000002,Low,2017,,,,
Realme Max Smartphone,68769,48138,30,1,0,4.6,Ajio,0.3,25.788375,3.2199999999999998,0.3,0,42,Moderate,2018,,,,
Redmi Max Smartphone,54499,27249,50,0,1,4.4,JioMart,0.5,34.061875,2.2,0,0.5,70,Moderate,2019,,,,
Redmi Lite Smartwatch,22526,18020,20,1,0,3.8,Snapdeal,0.2,5.6315,3.04,0.3,0,38,Low,2016,,,,
Samsung Plus Smartphone,7409,5186,30,1,0,4.6,JioMart,0.3,2.778375,3.2199999999999998,0.3,0,42,Moderate,2023,,,,
Realme Prime Smartwatch,68729,34364,50,1,1,4.3,Amazon,0.5,42.955625,2.15,0.3,0.5,100,High Manipulation,2015,,,,
Samsung Plus Laptop,63148,37888,40,0,0,4.4,Amazon,0.4,31.574,2.64,0,0,16.000000000000004,Low,2019,,,,
OnePlus Ultra Smartphone,79086,39543,50,0,1,3.4,JioMart,0.5,49.42875,1.7,0,0.5,70,Moderate,2015,,,,
OnePlus Plus Smartphone,70760,42456,40,0,0,2.9,Amazon,0.4,35.38,1.74,0,0,16.000000000000004,Low,2015,,,,
Samsung Lite Laptop,51304,41043,20,1,0,4.8,Myntra,0.2,12.826,3.84,0.3,0,38,Low,2024,,,,
OnePlus Max Smartphone,53788,21515,60,0,1,4.5,Snapdeal,0.6,40.341,1.8,0,0.5,74,High Manipulation,2025,,,,
Samsung Prime Headphones,7468,5974,20,1,0,3.8,Myntra,0.2,1.867,3.04,0.3,0,38,Low,2022,,,,
Apple Ultra Headphones,64554,45187,30,1,0,3,JioMart,0.3,24.20775,2.0999999999999996,0.3,0,42,Moderate,2015,,,,
Realme Lite Headphones,27490,13745,50,1,1,4.1,Myntra,0.5,17.18125,2.05,0.3,0.5,100,High Manipulation,2024,,,,
Samsung Max Smartphone,53928,48535,10,0,0,5,Myntra,0.1,6.741,4.5,0,0,4.000000000000001,Low,2019,,,,
Apple Pro Headphones,55897,22358,60,1,1,3.1,Snapdeal,0.6,41.92275,1.2400000000000002,0.3,0.5,104,High Manipulation,2018,,,,
Redmi Max Laptop,30677,15338,50,1,1,4.7,Myntra,0.5,19.173125,2.35,0.3,0.5,100,High Manipulation,2016,,,,
Apple Lite Smartwatch,46379,41741,10,0,0,4.9,Ajio,0.1,5.797375,4.41,0,0,4.000000000000001,Low,2018,,,,
